name,domain,city,state,country,client_verdict,client_note,salesforce_engagement_status,prep_rationale,prep_verify_note,source
Aldevron,aldevron.com,Fargo,North Dakota,United States,,,"CONFLICT — logged SF activity 23d ago (within 180-day window, Playbook 5.3). Suppress/flag.","Aldevron is a CDMO with explicit mRNA production, LNP encapsulation, and GMP wet-lab ops in North America; now part of Danaher (large_diversified_flag set), but the mRNA program and lab operations are real and confirmed — verdict IN.","Aldevron operates multiple confirmed wet-lab, process-development, and cGMP manufacturing sites across North America (Fargo ND x2, Madison WI, Waltham MA), all explicitly described on the facilities page as supporting R&D, process development, and/or cGMP manufacture of mRNA and other biologics.",apollo
Allele Biotechnology & Pharmaceuticals Inc.,allelebiotech.com,San Diego,California,United States,REVIEW,"Allele uses mRNA as a tool to reprogram cells. Its synthetic mRNA platform generates hiPSCs without random DNA integration or virus-based elements. It is not developing mRNA therapeutics (no IVT-produced mRNA drug substance, no LNP-encapsulated mRNA drug produ",Net new — no Salesforce match. Eligible for outreach.,"mRNA use is primarily as a reprogramming tool for iPSC manufacturing rather than a standalone mRNA therapeutic program per se; however, 'custom mRNA technologies' as an offered service and the GMP wet-lab footprint support IN — confidence is MED pending confirmation of a genuine mRNA therapeutic or mRNA-as-product program.","Allele Biotechnology operates a cGMP iPSC manufacturing and CDMO facility at 6404 Nancy Ridge Dr, San Diego, CA 92121, with explicit references to cGMP manufacturing, GMP iPSC production, QC, and mRNA reprogramming technologies—qualifying the site as gmp_mfg (and encompassing rnd_wetlab/process_dev ",apollo
AmplifyBio,amplify-bio.com,West Jefferson,Ohio,United States,DROP,"AmplifyBio is no longer operating. The legal entity itself has been renamed: it now appears on the docket as AB Liquidation, LLC (formerly AmplifyBio, LLC). The South San Francisco site was already closed before the filing",Clear — last SF activity 461d ago (older than 180 days).,"AmplifyBio is a US-based CDMO/CRO with a real physical manufacturing facility and an explicit 'mrna development' keyword, qualifying under C1+C2; confidence held at MED because the mRNA capability comes from an unverified keyword field and the service page confirmation of IVT/LNP lines is absent — flagged needs_evidence accordingly.","AmplifyBio's own website lists 'mRNA Development, Safety, and Manufacturing' and 'Advanced Therapy Manufacturing' with a dedicated Manufacturing Facility as CDMO services, confirming wet-lab and GMP manufacturing operations in North America. However, no specific street address or city/state is prese",apollo
Amptiv Biosciences,amptivbio.com,Cleveland,Ohio,United States,,,Net new — no Salesforce match. Eligible for outreach.,"Amptiv Biosciences is a small-stage mRNA therapeutics platform developer (Stanford invention origin) with explicit wet-lab synthesis and IVT operations; C1 and C2 both pass cleanly, no N* exclusions apply; geography is unresolved but modality/ops verdict is IN pending location confirmation.","The company's homepage lists a Cleveland, OH address and explicitly states they 'integrate wet-lab synthesis, functional assays, and AI-guided optimization,' indicating a wet-lab research site at that location.",apollo
Cartesian Therapeutics,cartesiantherapeutics.com,Frederick,Maryland,United States,,,Clear — last SF activity 1693d ago (older than 180 days).,"Cartesian Therapeutics is a clinical-stage mRNA cell therapy developer (mRNA CAR-T for autoimmune disease) with stated cGMP manufacturing operations — C1 and C2 both pass, no N* exclusions apply.","The careers page explicitly states that 'discovery, cGMP manufacturing, and clinical operations all happen under one roof' at the Frederick, MD location (7495 New Horizon Way, Frederick, MD 21703), confirming a GMP manufacturing site at that address.",apollo
Curia,curiaglobal.com,Albany,New York,United States,,,"CONFLICT — logged SF activity 3d ago (within 180-day window, Playbook 5.3). Suppress/flag.","CDMO with explicit mRNA manufacturing and LNP formulation services listed in keywords, headquartered in Albany NY with broad NA facility network — qualifies IN per CDMO rule requiring explicit mRNA/LNP line.","Curia's facilities page lists multiple North American sites with explicit lab, development, and GMP manufacturing functions, including drug product manufacturing sites in Albuquerque NM and Camarillo CA, and small molecule discovery/development sites in Albany NY, Rensselaer NY, and Buffalo NY — all",apollo
Exelead,exeleadbiopharma.com,Indianapolis,Indiana,United States,,,Net new — no Salesforce match. Eligible for outreach.,Explicit LNP/mRNA CDMO in Indianapolis (NA) under MilliporeSigma/Merck KGaA; mRNA/LNP manufacturing line is unambiguous; large_diversified_flag set due to Merck KGaA parentage — may be existing account or handled via direct sales channel.,Exelead's website confirms a GMP manufacturing and fill & finish Center of Excellence in Indianapolis with 30+ years of GMP experience and explicit mRNA/LNP CDMO services; no street address is provided in the fetched content but the Indianapolis site is described as an in-house GMP manufacturing fac,apollo
Factor Bioscience Inc.,factor.bio,Cambridge,Massachusetts,United States,,,Net new — no Salesforce match. Eligible for outreach.,Factor Bioscience credibly qualifies on C1 and C2 — mRNA is named as a core modality with GMP wet-lab operations in Cambridge MA — but the small headcount (13 employees) and broad keyword list raise a flag that 'mRNA therapies' may refer to platform/tool use inside cell engineering rather than a standalone mRNA therapeutic program; confidence held at MED pending pipeline verification.,"Factor Bioscience lists a Cambridge, MA address where a job posting explicitly describes a 'lab-based position' involving mammalian cell culture, RNA/DNA delivery, and gene-editing assays, confirming wet-lab activity at that address.",apollo
FORMUMAX SCIENTIFIC INC.,liposomeexpert.com,Sunnyvale,California,United States,,,Net new — no Salesforce match. Eligible for outreach.,"FormuMax is a Sunnyvale-based LNP/liposome CRO with physical wet labs and an explicit 'mRNA LNPs' keyword; qualifies as an LNP-delivery/formulation CRO with NA footprint, but mRNA-specific engagement depth is inferred from keywords rather than confirmed program detail — confidence held at MED pending verification.","FormuMax Scientific is described as located in Silicon Valley, northern California, and offers contract formulation services including mRNA LNPs and liposome-based drug delivery — indicating a wet-lab/process development facility. The company provides custom formulation preparation and formulation c",apollo
"FUJIFILM Pharmaceuticals U.S.A., Inc.",fujifilmpharma.com,Cambridge,Massachusetts,United States,,,Net new — no Salesforce match. Eligible for outreach.,"FUJIFILM Pharmaceuticals U.S.A. is a Greater Boston-based CDMO/developer with explicit mRNA synthesis, LNP formulation, ionizable lipid, and GMP manufacturing capabilities; it is a subsidiary of large diversified FUJIFILM so large_diversified_flag is set, but the mRNA/LNP program and NA lab ops clearly qualify it as IN.","The company's homepage confirms GMP manufacturing (aseptic fill & finish, batch release testing) and mRNA process development/scale-up at a 'purpose-built facility', indicating a real lab/GMP site in North America; however, no street address is provided in the fetched content, leaving the physical l",apollo
GeneFab,genefab.com,Alameda,California,United States,,,Net new — no Salesforce match. Eligible for outreach.,CDMO with explicit 'mRNA LNP' service keywords and a cGMP facility in Alameda CA qualifies as IN per the CDMO rule (explicit mRNA/LNP line); confidence is MED because the core description text does not spell out the mRNA program in detail and keyword fields are unverified enrichment — a service page confirming IVT/LNP formulation would raise to HIGH.,"GeneFab operates a 92,000 sq ft cGMP manufacturing facility in Alameda, CA (42,000 sq ft commissioned for clinical GMP in 2023) and a research center in South San Francisco, CA, both qualifying as real lab/GMP sites. The contact page explicitly lists 'mRNA-LNP Services' confirming an mRNA program.",apollo
"Helix Biotech, Inc.",helixbiotech.com,Knoxville,Tennessee,United States,,,Net new — no Salesforce match. Eligible for outreach.,"Helix Biotech is a US-based CDMO (Knoxville, TN) with explicit mRNA synthesis, LNP formulation, and GMP manufacturing capabilities — C1 and C2 both pass cleanly; no exclusionary N* criteria apply.","Helix Biotech lists a single NA address at 1460 Breda Drive, Knoxville, TN, which serves as the operational base for a CDMO offering GMP manufacturing, process development, formulation development, and custom mRNA synthesis — all lab/process functions explicitly described on the site.",apollo
"Immunomic Therapeutics, Inc.",immunomix.com,Rockville,Maryland,United States,,,Net new — no Salesforce match. Eligible for outreach.,"saRNA vaccine keyword and 'self-amplifying rna vaccines' in keywords support C1 pass, but description focuses on plasmid DNA and dendritic cell products — the saRNA program needs pipeline-level confirmation; confidence reduced to MED pending that evidence.","The contact page explicitly labels the Rockville, MD address as 'Headquarters & Lab', indicating a combined administrative and laboratory function at that single NA site, which satisfies the rnd_wetlab gate.",apollo
Moderna,modernatx.com,Cambridge,Massachusetts,United States,,,"CONFLICT — logged SF activity 2d ago (within 180-day window, Playbook 5.3). Suppress/flag.","Moderna is the definitive mRNA therapeutic developer with confirmed NA wet-lab/manufacturing operations; large_diversified_flag set (5,800 employees, major pharma partnerships) for human review as a potential existing account or direct-sales relationship — no rule-vs-evidence conflict.","Moderna's contact page lists a Global Headquarters at 325 Binney Street, Cambridge, MA, classified as sales_admin, but job listings on the homepage reference wet-lab and drug manufacturing roles in both Cambridge, MA (R&D/research) and Norwood, MA (Technical Development and Drug Manufacturing at 'MT",apollo
Nanofacile,nanofacile.bio,Montreal,Quebec,Canada,DROP,"Its product is ""Nanomedicine in a Box"" - a standalone kit for rapid parallel screening of LNP-encapsulated RNA therapies that bundles its own validated reagents and lipid formulations with a microfluidic device and an AI formulation companion. That's the decisive detail: it sells LNP-formulation consumables to the same labs Teknova targets, which puts it on the supplier side of the buyer-vs-supplier line (the spirit of -4 G5), not the consumer side. Add its micro scale - ~3 people, pre-seed, Montreal - and the reagent pull is negligible while the reagent supply angle is real.",Net new — no Salesforce match. Eligible for outreach.,"Nanofacile is a Montreal-based LNP formulation tools company explicitly targeting mRNA therapy developers; physical kit products confirm wet-lab operations, satisfying C1+C2 with no disqualifying N* flags.","Nanofacile lists a dedicated 'NANOFACILE LABORATORY' at 7141 Sherbrooke Ouest, Montreal, Quebec, explicitly described as a wet lab environment ('It can be used in any wet lab') for RNA therapy/LNP encapsulation R&D, qualifying as an rnd_wetlab site. Both the office and laboratory addresses are in Ca",apollo
NTx Bio,ntxbio.com,Rio Rancho,New Mexico,United States,,,Net new — no Salesforce match. Eligible for outreach.,"NTx Bio is a cell-free mRNA/saRNA manufacturing platform company headquartered in New Mexico with a facility in Texas (NA confirmed); strong C1+C2 pass; competitor_flag set because proprietary enzymes and IVT platform could overlap with client's own reagent/enzyme offerings, but playbook directive is to KEEP and FLAG rather than OUT — also a plausible buyer of upstream reagents/QC components.","NTx Bio lists a single NA physical address in Rio Rancho, NM. The site describes cell-free biomanufacturing of mRNA/saRNA with reagents manufactured in the U.S. at this location, and the company's platform is described as industrial-grade RNA manufacturing, indicating a wet-lab/manufacturing operati",apollo
"Orion Therapeutics, Inc.",orionthx.com,Knoxville,Tennessee,United States,,,Net new — no Salesforce match. Eligible for outreach.,"LNP delivery company with explicit mRNA payload scope and formulation services qualifies under lnp_delivery role (SME 2026-06-11); siRNA co-presence does not negate mRNA program; small size (8 employees, founded 2022) and service-oriented model suggest physical lab ops but low headcount warrants evidence check on actual wet-lab vs. pure IP posture.","The Knoxville site is located at Cherokee Farms, a University of Tennessee research park known for wet-lab facilities, and is described as the primary lab site; the news article references 'From Lab Bench to Breakthrough' and NSF STTR research activities associated with this location, supporting an ",apollo
Phosphorex,phosphorex.com,Hopkinton,Massachusetts,United States,,,Net new — no Salesforce match. Eligible for outreach.,"Phosphorex is a US-based CDMO with an explicit LNP formulation and mRNA delivery service line, physical GMP-capable wet-lab operations in Massachusetts, and no disqualifying N* conditions; qualifies IN with high confidence.","Phosphorex is headquartered at 35 Parkwood Dr, Suite 210, Hopkinton, MA and operates as a CDMO performing formulation optimization, scalable process development, and CMC strategy for LNPs and nanoparticles — functions consistent with rnd_wetlab and process_dev activities at that address.",apollo
Recipharm Advanced Bio,recipharm-ab.com,Watertown,Massachusetts,United States,,,Net new — no Salesforce match. Eligible for outreach.,"CDMO with explicit mRNA manufacturing ('mrna manufacturing', 'xRNA therapies') and LNP formulation capabilities, physical GMP wet labs confirmed in Watertown, MA — all criteria met for IN.","The Watertown, MA site (650 Pleasant St) is listed on the contact page as the US location, and the about page confirms this is the center of excellence for nucleic acids (xRNA/mRNA/plasmid DNA/LNP) with cGMP manufacturing capabilities and process development, qualifying it as at minimum a process_de",apollo
Revolution Biomanufacturing Inc.,revolutionbiomanufacturing.com,Worcester,Massachusetts,United States,,,Net new — no Salesforce match. Eligible for outreach.,"US-based CDMO with explicit, detailed mRNA/LNP manufacturing capabilities (IVT, pDNA, LNP encapsulation, fill/finish, cGMP); all IN criteria met with no applicable exclusions.","The company lists a single NA address at 17 Briden Street, Suite 111, Worcester, MA, which is explicitly described as a USA-based GMP facility offering cGMP manufacturing, mRNA IVT process development, and downstream process development — qualifying it as both gmp_mfg and process_dev. The most speci",apollo
"RJH Biosciences - Inspired Design, Effective Transfection",rjhbiosciences.com,Edmonton,Alberta,Canada,DROP,Non-viral transfection/delivery reagent developer. supplier; low reagent pull.,Net new — no Salesforce match. Eligible for outreach.,"RJH is a lipopolymer/transfection-reagent maker in Edmonton (NA ✓) that explicitly supports mRNA delivery alongside siRNA/CRISPR — qualifies as lnp_delivery IN candidate, but competitor_flag is set because they produce delivery reagents that could overlap with client's product space; mRNA program co-occurrence with siRNA raises slight N2-adjacent concern but self-description is clear enough to pass C1 at MED confidence pending deeper pipeline confirmation.","RJH Biosciences lists a single physical address in Edmonton, Alberta, Canada and explicitly describes R&D services, manufacturing of transfection reagents, and preclinical delivery work conducted at that location, qualifying it as an rnd_wetlab site.",apollo
Institut de recherches cliniques de Montréal (IRCM) / Montreal Clinical Research Institute,ircm.qc.ca,Montreal,Quebec,Canada,KEEP,IRCM houses RNA Technologies & Therapeutics (RNA T&T) - a Montreal company that produces nucleoside-modified mRNA at mg-g scale and several IRCM labs partner with it. So the institute isn't just studying RNA in the abstract; it has an mRNA-producing company embedded inside it.,Net new — no Salesforce match. Eligible for outreach.,"IRCM is a non-profit academic translational institute (→ NARROW per playbook) with an explicit RNA therapeutics bio-manufacturing capability in Montreal (NA geography confirmed); 'RNA therapeutics' is ambiguous and the specific mRNA process modality needs verification, but the AReNA network affiliation and bio-manufacturing language are credible mRNA indicators warranting NARROW rather than OUT.","IRCM is a well-established academic research institute in Montreal with clear wet-lab research platforms (molecular biology, genomics, cytometry, proteomics, animal facility), qualifying as an rnd_wetlab site in Canada. However, no mRNA program is described on the site, contradicting the upstream 'y",apollo
AGC Biologics,agcbio.com,Bothell,Washington,United States,DROP,"The mRNA GMP cleanroom was built at Heidelberg, and every facility-level reference ties mRNA + pDNA production to that German site. The US locations (Seattle, Boulder, Longmont) are protein biologics, viral vectors, and cell therapy - not mRNA.",Clear — last SF activity 357d ago (older than 180 days).,"AGC Biologics is a multi-platform CDMO with a confirmed North American wet-lab footprint and 'mrna' in its keyword list, but per playbook CDMO rules, an explicit mRNA or LNP manufacturing line must be confirmed — the keyword alone in a broad list is ambiguous and insufficient to move to IN.","The Seattle/Bothell, WA site (21511 23rd Dr. SE, Bothell, WA 98021) is described as the Global Headquarters and is the sole NA address found; the site-wide services include cGMP Manufacturing, Process Development, and mRNA capabilities explicitly offered from this location, qualifying it as a gmp_mf",apollo
CaroGen Corporation,carogencorp.com,Farmington,Connecticut,United States,KEEP_LOW,"It is a virus-like-vesicle platform is enveloped self-amplifying mRNA, so not a clean DQ, but it's viral-vector-like and clinical manufacturing is outsourced. Lower priority, but keep it.",Net new — no Salesforce match. Eligible for outreach.,"CaroGen's primary platform is VLV/viral-vector (potential N1 territory), but 'self-amplifying mRNA' and 'RNA transgene delivery' keywords suggest an mRNA component — whether this constitutes a genuine standalone saRNA therapeutic program vs. a descriptor of RNA cargo within a viral-vector system is unresolved and requires pipeline-level evidence.","CaroGen is located at the Cell & Genome Sciences Building at UConn Health in Farmington, CT — a research facility context consistent with wet-lab R&D. The company describes itself as conducting IND-enabling preclinical studies with an RNA/self-amplifying mRNA platform, supporting classification as r",apollo
"Codexis, Inc.",codexis.com,Redwood City,California,United States,DROP,"IVT enzyme supplier (ECO Synthesis) - supplier, not buyer.","CONFLICT — logged SF activity 8d ago (within 180-day window, Playbook 5.3). Suppress/flag.","Codexis is an IVT-enzyme producer (CodeEvolver platform engineers enzymes used in mRNA manufacturing workflows); per playbook directive, competitor_flag=true and NEEDS_REVIEW — not OUT; 'sirna manufacturing' keyword is noted but RNA manufacturing broadly and mRNA-relevant enzyme tooling are also present, so N2 does not cleanly apply; geography confirmed NA (Redwood City, CA)","Codexis has an active wet-lab/process facility (ECO Innovation Lab, Hayward CA) executing GLP-grade RNA manufacturing and toxicology studies, and a headquarters in Redwood City, CA. The ECO Innovation Lab qualifies as rnd_wetlab/process_dev; a future GMP center (Hayward) is announced for 2027.",apollo
ElevateBio,elevate.bio,Waltham,Massachusetts,United States,,,"CONFLICT — logged SF activity 2d ago (within 180-day window, Playbook 5.3). Suppress/flag.","ElevateBio is primarily a cell and gene therapy CDMO/holding company (AAV, CAR-T, gene editing), but keywords explicitly list 'rna therapeutics manufacturing' and 'lipid nanoparticle delivery' as capabilities — if these reflect a real mRNA/LNP service line at BaseCamp, this qualifies IN; keywords alone are unverified enrichment, so NEEDS_REVIEW pending confirmation of an actual mRNA/LNP process line.","ElevateBio operates multiple NA sites with confirmed wet-lab, process development, and cGMP manufacturing functions. The Waltham BaseCamp facility (200 Smith St) is explicitly described as a cGMP biomanufacturing facility with GMP suites, QC labs, and process/analytical development labs; the Durham ",apollo
Pelican Expression Technology®,pelicanexpression.com,San Diego,California,United States,DROP,"it's a Pseudomonas protein-expression platform (fails G1), the entity is stale (spun into Primrose Bio in 2023), and its only mRNA tie is selling IVT enzymes - a -4 G5 supplier. DQ on two counts.",Net new — no Salesforce match. Eligible for outreach.,"Pelican is an IVT-enzyme producer (Prima RNApols™ for mRNA manufacturing) — per playbook SME directive (2026-06-11), do NOT drop; set competitor_flag=true and return NEEDS_REVIEW; physical GMP wet labs in San Diego confirm C2, but role as enzyme supplier vs. buyer needs human review.","Pelican Expression Technology (operating the Pfenex platform) describes upstream fermentation capacity from 1L to 100L, process development, downstream processing, GMP cell bank production, and scale-up capabilities at their facility — indicating a wet-lab/process development site. Their RNA polymer",apollo
"TriLink BioTechnologies, part of Maravai LifeSciences",trilinkbiotech.com,San Diego,California,United States,DROP,"mRNA reagent maker (CleanCap, NTPs, IVT). supplier, not buyer (in theory), but we do already have a good presence with Trilink. This isn't the ideal campaign for them",Net new — no Salesforce match. Eligible for outreach.,"TriLink is a canonical mRNA CDMO + IVT-reagent producer (CleanCap, NTPs, GMP mRNA) with confirmed NA wet-lab ops — competitor_flag set per playbook directive; NEEDS_REVIEW pending CRM existing-account check and buyer-vs-seller determination.","TriLink's own navigation and services pages explicitly list GMP mRNA Manufacturing (cGMP manufacturing facility, commercial manufacturing services), process development, and custom mRNA synthesis as core offerings, confirming at least gmp_mfg and process_dev functions at their San Diego operations. ",apollo
