row_num,business_name,business_website,business_domain,business_business_description,business_number_of_employees_range,business_yearly_revenue_range,business_country_name,business_region,business_city_name,business_naics,business_naics_description,business_sic_code,business_sic_code_description,business_logo,business_business_intent_topics,created_at,business_id
1,Crisp Malt,crispmalt.com,crispmalt.com,"Crisp supply a diverse range of high quality malts that are flavoursome and versatile. The finest breweries and distilleries around the world are able to craft outstanding beers and whisky using our skilfully malted grains. Our malt supply is proudly accompanied by our award winning customer service team who look forward to hearing from you. Our barley, cereals and other grains are selectively sourced through our dedicated grower groups that consist of the finest farms in East Anglia, Scotland and other parts of the United Kingdom. We strongly believe that to supply the best malt to our customers; we need to source the best raw materials",201-500,75M-200M,united kingdom,,fakenham,311,Food Manufacturing,2099,"Food preparations, nec",https://media.licdn.com/dms/image/v2/C4E0BAQE0_qXjPmCHSw/company-logo_200_200/company-logo_200_200/0/1630646319463/crisp_malt_logo?e=2147483647&v=beta&t=LVfNRhI1yqvnHMPH5vTwLHUtwVVaOyPzD65xCgxrAY0,,2026-05-08T20:59:22.143Z,db1f47f5a841382c02ceec93ef6fcee2
2,Canada Malting Co. Limited,canadamalting.com,canadamalting.com,"Canada Malting is the largest malt company in Canada, producing approximately 400,000 metric tonnes of malt per year for brewers & distillers around the world - from the largest of multinational organizations to the smallest of craft brewers - as well as for food processors. In addition to our malt plants in Calgary, Montreal, & Thunder Bay, we own & operate nine country elevators through our Canada Malting Grain group.",201-500,75M-200M,canada,alberta,calgary,311,Food Manufacturing,2099,"Food preparations, nec",https://media.licdn.com/dms/image/v2/C4E0BAQGm8uqYkd_M1g/company-logo_200_200/company-logo_200_200/0/1631352461327?e=2147483647&v=beta&t=s725KLfqWETMFHrEBi5KiAspHNPv6NzsCoomf7L2AqY,,2026-05-08T20:59:22.143Z,4f5babc52a79f34a9c2b9e5ae250487a
3,Silvery Tweed Cereals,silverytweedcereals.co.uk,silverytweedcereals.co.uk,"Silvery Tweed Cereals is a family-owned business specialising in premium-quality cereal and seed ingredients. Based in the Northumberland border town of Berwick-upon-Tweed and surrounded by rich agricultural land, we are trusted by many of the leading names in the baking and cereals-based industries.",51-200,25M-75M,united kingdom,,berwick-upon-tweed,311,Food Manufacturing,2086,Bottled and canned soft drinks,https://media.licdn.com/dms/image/v2/C4E0BAQHXGNw3Ln1mqg/company-logo_200_200/company-logo_200_200/0/1631320637927?e=2147483647&v=beta&t=UPPPrm8EatVOcNULwHp_Me8o4QZ6M4ne3MbSMpfE82I,,2026-05-08T20:59:22.143Z,02295514b6c795aa74608880b52e26d4
4,Riverbend Malt House,riverbendmalt.com,riverbendmalt.com,"Riverbend Malt House provides high-quality, locally sourced craft malt to craft brewers and distillers in the Southeast since 2010. They offer a variety of malted rye styles made with heirloom varieties, including Carolina Rye, Munich Rye, Seashore Black Rye, and Flo-Rye-Da. These malts cater to different flavor profiles, from earthy to spicy, and are used by breweries like Newgrass Brewing, South Main Brewing, Beacon Brewing Co., Yazoo Brewing, and Sideward Brewing. Riverbend Malt House focuses on sustainability, local flavor, and collaboration with industry and university partners to deliver unique and flavorful malt options for brewing and distilling projects.",11-50,1M-5M,united states,north carolina,asheville,312120,Breweries,2087,"Flavoring extracts and syrups, nec",https://media.licdn.com/dms/image/v2/D560BAQGu6lmVPZh1jQ/company-logo_200_200/company-logo_200_200/0/1734385108250/riverbend_malt_house_logo?e=2147483647&v=beta&t=jURHuoAphxDKy2-wmlnzPcDBGrO-gOcXWbp1AIL74Dg,,2026-05-08T20:59:22.143Z,8b18c8be168561119a1823f90bdb62f8
5,French and Jupps Ltd,frenchandjupps.com,frenchandjupps.com,"French & Jupps is Great Britain's oldest maltster, and one of the oldest manufacturing companies in the world, with a history dating back to 1689. Run by the same family for the last 336 years, French & Jupps produce the highest quality small batch speciality roasted malts to the brewing, food and whisky industries globally. Located in Stanstead Abbotts, Hertfordshire, French & Jupps source barley from local farms, preserving centuries-old tradition, producing a unique range of 14 hand-crafted Crystal and Patent Roasted Malts including Roasted Barley, Chocolate Malt, Brown Malt, and renowned Cara Gold. Alongside their production facility, French & Jupps manage The Maltings Business Centre, offering unique office space to a diverse range of over 140 small and medium-sized companies.",11-50,5M-10M,united kingdom,,stanstead abbotts,311,Food Manufacturing,2086,Bottled and canned soft drinks,https://media.licdn.com/dms/image/v2/D4D0BAQG0jsxFyNVrlQ/company-logo_200_200/company-logo_200_200/0/1719256348891/french_and_jupps_logo?e=2147483647&v=beta&t=wla55eM15MrqvIGLiq68IEkECPXdqfSeQj9U4VniItA,,2026-05-08T20:59:22.143Z,f67042e8e73b7ee09f40a95b7ada79b3
6,Admiral Maltings,admiralmaltings.com,admiralmaltings.com,"Admiral Maltings partners with California farmers to source quality, local grain that is floor malted to produce hand-crafted malt. They offer freshly kilned malt and facilitate tours of their malthouse to educate visitors on the role of malt in beer production. Additionally, they operate The Rake Pub overlooking the malting floor, serving a variety of beers and spirits made with their malt, along with BBQ food. Admiral Maltings aims to produce sustainable malt, deepen connections with local agriculture, and capture California's terroir through their unique blend of traditional practices and modern technology.",11-50,5M-10M,united states,california,alameda,312140,Distilleries,2087,"Flavoring extracts and syrups, nec",https://media.licdn.com/dms/image/v2/D560BAQHU0c-DAE_gIg/company-logo_200_200/company-logo_200_200/0/1695050953302/admiral_maltings_logo?e=2147483647&v=beta&t=7e8ikecoOHUqVtP3s2TV-FcAujUgY5kX6W9l_4fgux8,,2026-05-08T20:59:22.143Z,e9ca796d4713b3798d633a5db1ceda91
7,LD Carlson,ldcarlson.com,ldcarlson.com,"LD Carlson Company has been serving the homebrew and winemaking community since 1970, offering a wide range of products including Brewer's Best®, Malt, Yeast, Hops, Wine, Racking & Bottling Equipment, Beer & Wine Additives, Chemicals, and Books. With an 85,000 sf warehouse in Kent, Ohio, LD Carlson has expanded into the craft beer and wine industries while maintaining a focus on quality customer service. Their mission is to provide customers with quality products and service, catering to craft breweries, wineries, and homebrew retail shops. LD Carlson aims to be a go-to supplier in the craft beverage industry by sourcing innovative supplies and ingredients from top producers worldwide.",51-200,25M-75M,united states,ohio,kent,312130,Wineries,5182,Wine and distilled beverages,https://media.licdn.com/dms/image/v2/C4E0BAQENiOyr_Q9v0A/company-logo_200_200/company-logo_200_200/0/1672161703050/ld_carlson_logo?e=2147483647&v=beta&t=mLeXbVo2OFnoxHhtCc4W5WPSIDYc5sc3rZBfWAZaT7s,,2026-05-08T20:59:22.143Z,bc09049cfab98b9fb71cd7b9c343733d
8,The Great American Spice Company,americanspice.com,americanspice.com,"Here at the Great American Spice Company, Fresher Spices and Better Prices is more than a company slogan, it lives at the very heart of our business. Delivering the highest quality customer service is what drives every employee from the boardroom to the warehouse.",11-50,1M-5M,united states,michigan,rockford,31211,Soft Drink and Ice Manufacturing,5812,Eating places,https://media.licdn.com/dms/image/v2/C4E0BAQFPFyBU-sFGhA/company-logo_200_200/company-logo_200_200/0/1647297131339?e=2147483647&v=beta&t=j4DIBXCfGYFIcudl-M4u3_-ry6FtGzFzX8ePON9fSes,,2026-05-08T20:59:22.143Z,c9e4ae8a7a6e6bfa916c4f5f228bbe17
9,"BELLEVUE BREWING COMPANY, LLC",bellevuebrewing.com,bellevuebrewing.com,"Bellevue's first locally-owned craft brewery specializing in small-batch, handcrafted ales and lagers.",11-50,5M-10M,united states,washington,bellevue,311,Food Manufacturing,2086,Bottled and canned soft drinks,https://media.licdn.com/dms/image/v2/C4E0BAQFVHftNyBad7w/company-logo_200_200/company-logo_200_200/0/1658858143291/bellevue_brewing_company_llc_logo?e=2147483647&v=beta&t=AAgXj4tK1aLhghrP9KD0j-G9MeqmR6xpntGrghP6OQo,,2026-05-08T20:59:22.143Z,72f5bfc1d88f586d2cd5cf196a307236
10,Mildura ezy-brew,milduraezybrew.com.au,milduraezybrew.com.au,"We are pleased welcome you to our new easy to shop web site. We assure our customers that they are receiving the best quality approved products and we will post or freight Australia wide. We offer an extensive range of local, imported and specialty ingredients and equipment for brewing beer, wine and making spirits & liqueurs. We strive to consistently serve the needs of home brewers throughout Sunraysia. Our staff have 30 years of home brewing and related experience, and are able to answer your questions about home brewing, winemaking, or spirit and liqueur making. We stock brands such as, Fermentis, Mangrove Jacks, Black Rock, Morgans, Coopers, Beermakers, Tooheys, Still Spirits, Edwards Essences, Samuel Willards, Oz Brew, and Spirits Unlimited.",51-200,10M-25M,australia,,mildura,3121,Beverage Manufacturing,2086,Bottled and canned soft drinks,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,26ca1cce5bfa6f897df3912e9b78c7dd
11,Bett-A-Brew Beer & Wine Making Supplies,ibrew.com.au,ibrew.com.au,,51-200,10M-25M,australia,,,311,Food Manufacturing,2086,Bottled and canned soft drinks,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,27291268c38f41f816e9ad1a607c5942
12,Sunny Hill Distillery,sunnyhilldistillery.com.au,sunnyhilldistillery.com.au,"Sunny Hill Distillery is a food production company based out of 8658 Upper Yorke Rd, Arthurton, Australia.",51-200,10M-25M,australia,,arthurton,311,Food Manufacturing,2086,Bottled and canned soft drinks,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,7dcca098fa6e1f74612a2cc70aafac2d
13,Maltwerks,maltwerks.com,maltwerks.com,,11-50,5M-10M,united states,minnesota,detroit lakes,311,Food Manufacturing,2086,Bottled and canned soft drinks,https://media.licdn.com/dms/image/v2/C560BAQGtGDsu2lpZbQ/company-logo_200_200/company-logo_200_200/0/1674246474500?e=2147483647&v=beta&t=yy-723f7ZC_w0qztpCoY0GELI7hLa822U_it7lf4BRM,,2026-05-08T20:59:22.143Z,ccd568c1b7d82e2e69aed9fb85d9ecf7
14,Brewers Select Ltd,brewersselect.com,brewersselect.com,,11-50,1M-5M,canada,ontario,ottawa,31211,Soft Drink and Ice Manufacturing,5812,Eating places,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,acae71ce15890336f01c742e15ca19f6
15,MICRONIZED FOOD PRODUCTS LIMITED,micronizedfoodproducts.co.uk,micronizedfoodproducts.co.uk,"Micronized Food Products is a food manufacturing company that offers raw material sampling, cleaning, testing, and processing services.",11-50,5M-10M,united kingdom,,fakenham,311,Food Manufacturing,2086,Bottled and canned soft drinks,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,e4c1e70a6522204c1aff5eaad64192d7
16,Hoppy Days Brewing Supplies,hoppydaysbrewingsupplies.com.au,hoppydaysbrewingsupplies.com.au,,51-200,10M-25M,australia,,,3121,Beverage Manufacturing,2086,Bottled and canned soft drinks,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,646512ba5f6e8e79fab598989f20f954
17,SoCal Homebrew,socalbrewingsupply.com,socalbrewingsupply.com,"SoCal Brewing Supply is a family-owned and operated business that provides a wide range of homebrew supplies and ingredients. They offer beer starter kits, brewing equipment, fermenting equipment, bottling and kegging supplies, as well as brewing ingredients like grains, hops, yeasts, and additives. The company focuses on offering an alternative to traditional homebrew supply options, with a mission to cater to customers who seek better availability and faster shipping. SoCal Brewing Supply emphasizes same-day shipping on most domestic orders to ensure customers have what they need for their brewing projects.",11-50,5M-10M,united states,california,la verne,312120,Breweries,5182,Wine and distilled beverages,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,a442fa39b4de16844fb570d1acb7ab06
18,TWOC Brewing Supplies,homebru.com.au,homebru.com.au,,51-200,10M-25M,australia,,,3121,Beverage Manufacturing,2086,Bottled and canned soft drinks,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,d4dd5507f8f01b6c79b57b8799cff6ab
19,Eastern Shores Brewing Supplies,easternshoresbrewing.com,easternshoresbrewing.com,Eastern Shores Brewing Supplies is your homebrew connection offering quality beer and wine supplies and equipment for the beginner through advanced homebrewer.,11-50,5M-10M,united states,michigan,port huron,311,Food Manufacturing,2086,Bottled and canned soft drinks,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,67e74d1d097d0c82fcc8cc734452cb4b
20,"Catalina Products, LLC",mrbeer.com,mrbeer.com,"Mr. Beer, now owned by Coopers Brewery, specializes in making homebrewing easy and consistent. They offer beer making kits, refills, recipes, brewing equipment, accessories, and ingredients for homebrewing enthusiasts. With a focus on quality and ease-of-use, Mr. Beer provides a range of malts and extracts crafted by Coopers Brewery. The company aims to simplify the homebrewing process and offers support through customer service channels. Additionally, Mr. Beer introduced the MR. ROOTBEER Kit for making traditional root beer, catering to both adults and children.",11-50,5M-10M,united states,arizona,tucson,312120,Breweries,5182,Wine and distilled beverages,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,694dc1fbbccf94a4fc9a9767f3659815
21,Scotzin Bros Wine,scotzinbros.com,scotzinbros.com,Your homebrew and winemaking supply store. Scotzin Brothers has been selling brewing and wine supplies for over 40 years. We have a large selection offer great customer service.,11-50,5M-10M,united states,pennsylvania,lemoyne,311,Food Manufacturing,2086,Bottled and canned soft drinks,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,e582faffddb7280f14f6b17fcb935da2
22,Main Street Grille and Brewing Company LLC,msg-brew.com,msg-brew.com,,11-50,5M-10M,united states,ohio,garrettsville,311,Food Manufacturing,2086,Bottled and canned soft drinks,https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,e8b25862932ad696efc6ac12a59c51dc
23,Milkhouse Brewery at Stillpoint Farm,milkhousebrewery.com,milkhousebrewery.com,"Milkhouse Brewery at Stillpoint Farm offers a rocky hot cajun mix, honey mustard crunch, cocktail peanuts, and sodas. They provide root beer, diet root beer, orange cream, vanilla cream, black cherry, sasparilla, ciders, and tea. Their food products include apple, cherry, peach cider, and lightly sweetened iced tea.",11-50,5M-10M,united states,maryland,mount airy,311,Food Manufacturing,2099,"Food preparations, nec",https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,4d8eea7f8294e7a60ab3aac77a61aaa0
24,Soco Homebrew,socohomebrew.com,socohomebrew.com,"SoCo Homebrew is your South Austin supplier of homebrew, winemaking, cheesemaking, and other fermentable product supplies.",11-50,5M-10M,united states,texas,austin,311,Food Manufacturing,2099,"Food preparations, nec",https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,,2026-05-08T20:59:22.143Z,80c7035e6b4a6a6d4801c46c7851db84